Timestamp: 20241007_190552
Mean magnitude: 1.5573210716247559, after 0.826248 seconds
Mean magnitude: 2.0855188369750977, after 1.156756 seconds
Mean magnitude: 1.5213710069656372, after 1.47356 seconds
Mean magnitude: 2.343187093734741, after 1.784924 seconds
Mean magnitude: 1.3937952518463135, after 2.095833 seconds
Mean magnitude: 1.5754857063293457, after 2.406881 seconds
Mean magnitude: 1.1390738487243652, after 2.710102 seconds
Mean magnitude: 1.7840943336486816, after 3.014268 seconds
Mean magnitude: 1.4018515348434448, after 3.314156 seconds
Mean magnitude: 1.0760670900344849, after 3.63418 seconds
Mean magnitude: 1.75155508518219, after 3.94727 seconds
Mean magnitude: 1.3114880323410034, after 4.255211 seconds
Mean magnitude: 1.528899073600769, after 4.56292 seconds
Mean magnitude: 1.3974406719207764, after 4.863397 seconds
Mean magnitude: 1.5708017349243164, after 5.165581 seconds
Mean magnitude: 1.1709682941436768, after 5.468082 seconds
Mean magnitude: 1.5152806043624878, after 5.769204 seconds
Mean magnitude: 1.548249363899231, after 6.072084 seconds
Mean magnitude: 1.4973782300949097, after 6.379485 seconds
Mean magnitude: 1.415986180305481, after 6.689416 seconds
Mean magnitude: 1.5854121446609497, after 7.000727 seconds
Mean magnitude: 1.3226436376571655, after 7.302285 seconds
Mean magnitude: 1.489905595779419, after 7.605367 seconds
Mean magnitude: 1.863691806793213, after 7.907033 seconds
Mean magnitude: 2.1463515758514404, after 8.214808 seconds
Mean magnitude: 1.865891695022583, after 8.521741 seconds
Mean magnitude: 1.392127275466919, after 8.826769 seconds
Mean magnitude: 1.4486372470855713, after 9.146453 seconds
Mean magnitude: 1.4511425495147705, after 9.467276 seconds
Mean magnitude: 1.0283676385879517, after 9.782927 seconds
Mean magnitude: 3.012476921081543, after 10.102319 seconds
Component attached gently, after 10.102319 seconds
Mean magnitude: 5.080190658569336, after 10.420688 seconds
Component attached gently, after 10.420688 seconds
Mean magnitude: 2.4426112174987793, after 10.730434 seconds
Mean magnitude: 1.3547639846801758, after 11.033943 seconds
Mean magnitude: 1.1670525074005127, after 11.339738 seconds
Mean magnitude: 1.1801159381866455, after 11.648851 seconds
Mean magnitude: 1.796268105506897, after 11.960771 seconds
Mean magnitude: 1.1663479804992676, after 12.264603 seconds
Mean magnitude: 1.3033883571624756, after 12.572782 seconds
Mean magnitude: 1.1784815788269043, after 12.878817 seconds
Mean magnitude: 1.4482991695404053, after 13.188393 seconds
Mean magnitude: 1.0862451791763306, after 13.49255 seconds
Mean magnitude: 1.4568880796432495, after 13.798267 seconds
Component disappeared: Mean magnitude: 1.4568880796432495
Component detached
